,marca,modelo,precio,combustible,anyo_vehiculo,kilometraje,potencia,num_puertas,tipo_cambio
0,0,67,10.13816433966401,2,2023,46273,110.0,5,1
1,4,281,9.605755144230846,2,2022,103209,120.0,5,0
2,12,110,9.908475094047168,2,2020,110745,122.0,5,1
3,7,299,9.79757132694458,1,2022,63000,114.0,5,1
4,7,401,10.101928491209966,2,2022,62765,140.0,5,0
5,7,504,9.79784922051313,0,2016,89086,130.0,5,1
6,5,156,9.9281801651265,2,2024,7729,120.0,5,1
7,5,156,9.877656792501606,2,2023,69415,136.0,5,0
8,7,299,9.679718805828,1,2020,40000,114.0,5,0
9,5,354,9.491752831414368,2,2017,145000,141.0,5,1
10,7,299,9.728538750071586,1,2020,60481,114.0,5,0
11,4,281,9.993648132244084,1,2024,6189,120.0,5,0
12,4,281,9.993236844679735,1,2024,6114,120.0,5,0
13,4,490,10.571060481976643,2,2024,1400,215.0,5,1
14,4,264,10.789319076925574,4,2023,1000,265.0,5,1
15,5,355,9.728538750071586,4,2021,111455,141.0,5,1
16,5,454,10.038455412946613,1,2023,80363,150.0,5,0
17,5,376,9.30383071506352,1,2021,73734,67.0,5,0
18,12,256,9.752664662801545,2,2020,27506,100.0,5,1
19,12,256,9.735068900911164,2,2020,33245,100.0,5,1
20,12,200,9.877656792501606,2,2019,38336,122.0,5,1
21,5,353,10.03889218954233,2,2021,39700,141.0,5,1
22,5,454,9.79757132694458,0,2019,66000,115.0,5,0
23,4,490,10.038455412946613,2,2021,96179,150.0,5,1
24,4,490,9.897469480210566,1,2021,74777,150.0,5,0
25,5,454,9.740380214665977,1,2018,60000,132.0,5,0
26,5,512,9.710509415553645,2,2021,112641,136.0,5,1
27,5,454,9.2093398716426,1,2012,189000,135.0,5,0
28,7,401,10.16199824768763,2,2022,11923,140.0,5,0
29,4,490,10.126631103850338,2,2022,87456,230.0,5,1
30,7,401,10.161612072745584,2,2022,11111,140.0,5,0
31,7,401,10.15774209887539,2,2022,9115,140.0,5,0
32,4,277,9.303375237943373,1,2020,63000,67.0,5,0
33,4,490,10.060491301345794,2,2022,109323,230.0,5,1
34,5,376,9.104868739033948,1,2020,82000,67.0,5,0
35,4,490,10.08539235583374,1,2024,30506,150.0,5,0
36,12,410,9.148464968258095,0,2009,210300,136.0,5,0
37,7,401,9.103868127465667,1,2008,140000,140.0,5,0
38,4,278,9.79757132694458,1,2024,29611,100.0,5,0
39,5,156,9.66459564425378,2,2021,134593,136.0,5,0
40,5,156,9.933046354777673,1,2024,14447,100.0,5,0
41,4,281,9.79757132694458,0,2021,74258,116.0,5,0
42,12,96,8.496990484098719,1,2006,179690,147.0,5,0
43,7,401,10.15385709010393,2,2022,19022,140.0,5,0
44,12,256,9.951801412814678,1,2023,43000,125.0,5,0
45,12,200,10.221941283654663,2,2022,52000,184.0,5,1
46,12,95,9.471935109664646,1,2015,116000,132.0,5,1
47,4,490,9.947025854550612,0,2021,89995,115.0,5,0
48,7,401,8.612321536507814,0,2009,268000,106.0,5,0
49,7,401,9.674074388208323,1,2015,97437,115.0,5,0
50,5,353,9.660778845727078,2,2019,99990,141.0,5,1
51,4,281,9.927692241232945,1,2024,26078,120.0,5,0
52,12,95,9.046644279305394,0,2011,158000,90.0,5,1
53,4,281,10.106020149946213,1,2024,2,100.0,5,0
54,5,365,9.648595302907339,0,2019,155000,136.0,5,0
55,12,99,9.296518068217235,1,2021,79288,72.0,5,0
56,7,324,9.740085880594684,3,2021,23263,150.0,5,1
57,12,200,9.79757132694458,2,2022,64403,122.0,5,1
58,5,413,9.581214035314728,1,2021,51869,84.0,5,0
59,7,401,9.846917201047734,0,2019,51846,150.0,5,0
60,4,281,9.902987427494446,1,2024,22586,120.0,5,0
61,12,410,10.323841273138044,2,2020,121953,218.0,5,1
62,12,410,9.259035293514941,0,2012,215000,150.0,5,0
63,5,413,9.314700387300425,1,2021,98498,84.0,5,0
64,4,278,9.456418894572888,1,2020,92000,100.0,5,0
65,7,401,10.118195625029236,2,2022,23101,140.0,5,0
66,7,401,10.106020149946213,2,2022,57145,158.0,5,1
67,5,376,9.546098067659527,1,2019,42000,84.0,5,0
68,5,413,9.615138591096644,1,2019,36000,100.0,5,0
69,4,490,10.15774209887539,1,2023,26554,150.0,5,0
70,12,110,9.82498532438117,2,2018,114000,122.0,5,1
71,4,281,9.998343083548807,2,2024,1,120.0,5,0
72,4,490,9.825526011066415,1,2018,80000,132.0,5,0
73,12,95,8.779557455883728,1,2009,206670,101.0,5,0
74,7,401,9.679718805828,0,2016,27840,110.0,5,0
75,7,401,9.61573881119536,1,2015,65000,115.0,5,1
76,12,200,9.740380214665977,2,2019,111000,122.0,5,1
77,4,490,10.128030124764045,1,2024,15224,150.0,5,0
78,4,490,10.148275171908208,1,2024,11144,150.0,5,0
79,7,1,9.259130536145614,1,2020,133314,100.0,5,0
80,12,256,9.670924779305427,2,2021,74250,116.0,5,1
81,12,99,9.588091641516831,1,2019,20000,72.0,5,1
82,5,454,9.91788343281986,2,2021,53000,136.0,5,0
83,12,201,10.03889218954233,2,2021,69781,122.0,5,1
84,4,490,8.83927669058535,0,2007,120000,140.0,5,0
85,4,490,9.795345393916424,2,2021,165054,116.0,5,0
86,4,278,9.710509415553645,2,2021,99381,100.0,5,0
87,5,413,9.383452989684827,1,2022,93000,84.0,5,0
88,12,410,9.104868739033948,0,2008,239000,177.0,5,0
89,12,200,9.79757132694458,2,2022,67929,122.0,5,1
90,12,200,9.79757132694458,2,2022,72238,122.0,5,1
91,12,410,10.3251540399823,2,2021,74413,222.0,5,1
92,12,256,9.670924779305427,2,2021,74750,116.0,5,1
93,12,110,9.902987427494446,2,2019,79000,122.0,5,1
94,12,256,9.913437883389296,2,2020,67663,116.0,5,1
95,5,454,8.697846691109495,0,2010,224000,136.0,5,0
96,12,256,9.670924779305427,2,2021,74500,116.0,5,1
97,4,281,9.998343083548807,1,2024,10845,96.0,5,0
98,4,278,9.578449693540579,1,2022,88321,100.0,5,0
99,4,278,9.578449693540579,1,2022,89168,100.0,5,0
100,4,278,9.578449693540579,1,2022,109936,100.0,5,0
101,4,490,9.735068900911164,1,2019,77000,132.0,5,0
102,12,95,8.824677891164198,0,2009,149706,90.0,5,0
103,5,388,10.134599273499514,2,2021,29392,136.0,5,1
104,12,256,9.740380214665977,2,2022,49000,116.0,5,1
105,4,281,10.021270588192511,1,2024,24300,120.0,5,0
106,4,277,9.531191227694439,1,2024,7295,67.0,5,0
107,4,277,9.552084402526495,1,2024,7897,67.0,5,0
108,4,278,8.66561319653451,1,2013,164000,85.0,5,0
109,7,401,10.020826044953361,0,2021,45940,115.0,5,0
110,12,200,9.867860374892977,2,2020,149000,122.0,5,1
111,12,110,9.998343083548807,2,2021,61700,122.0,5,1
112,4,490,9.710509415553645,1,2019,89260,132.0,5,0
113,4,278,9.560997243589352,1,2021,67305,100.0,5,0
114,5,454,9.47262771040802,0,2015,127212,115.0,5,0
115,7,339,8.823206220552741,1,2013,71000,80.0,5,0
116,12,410,9.259035293514941,0,2011,187000,150.0,5,0
117,12,200,9.79757132694458,2,2022,64403,122.0,5,1
118,4,278,9.797904789961063,1,2024,6326,84.0,5,0
119,4,278,9.825147561084876,1,2024,11860,100.0,5,0
120,4,278,9.85890850913816,1,2024,5411,100.0,5,0
121,12,95,9.825526011066415,2,2018,56000,136.0,5,1
122,4,490,9.85166780380633,2,2021,136629,136.0,5,1
123,5,376,9.524420918282495,1,2024,11218,63.0,5,0
124,5,454,9.769384568012647,1,2019,62958,132.0,5,0
125,7,401,9.922799863568502,1,2019,46504,140.0,5,0
126,4,278,9.755857235532103,1,2024,1055,84.0,5,0
127,4,278,9.855871698594465,1,2024,6700,100.0,5,0
128,4,281,9.509703949201802,1,2020,139868,120.0,5,0
129,12,99,9.2093398716426,1,2019,105000,72.0,5,0
130,4,281,9.872512748236698,2,2023,14093,120.0,5,0
131,4,281,9.79784922051313,1,2022,60000,120.0,5,0
132,5,454,9.72913416539135,1,2019,50840,132.0,5,0
133,12,256,9.647949933410914,1,2018,70635,111.0,5,0
134,4,278,9.205327830152639,1,2020,117019,75.0,5,0
135,4,281,9.902987427494446,1,2024,6097,110.0,5,0
136,5,454,9.433483923290392,0,2014,154000,115.0,5,0
137,5,156,9.371608519572305,0,2020,277390,115.0,5,0
138,12,95,8.98594603876032,0,2013,231050,124.0,5,0
139,5,454,9.494767151707292,0,2014,115000,115.0,5,0
140,5,454,9.047821442478408,0,2013,243000,115.0,5,0
141,4,281,9.2093398716426,1,2014,128000,100.0,5,0
142,7,401,8.921324076511265,0,2012,199000,110.0,5,0
143,7,401,8.68270762989381,0,2008,206000,106.0,5,0
144,7,401,8.612503371220562,1,2009,279000,115.0,5,0
145,7,401,9.951801412814678,1,2019,51938,160.0,5,1
146,12,256,9.82822506803558,2,2020,17378,100.0,5,1
147,7,401,9.39182824802156,0,2015,202800,130.0,5,1
148,12,200,9.786953736280177,2,2020,127700,122.0,5,1
149,12,256,9.679718805828,1,2022,48670,69.0,5,0
150,4,281,9.581214035314728,1,2021,98669,120.0,5,0
151,12,256,9.608445125678054,2,2018,70000,100.0,5,1
152,7,401,9.878169744551839,1,2020,33128,140.0,5,0
153,7,401,9.103868127465667,0,2010,177583,110.0,5,0
154,12,200,9.578449693540579,2,2022,259474,122.0,5,1
155,7,401,9.680344001221918,0,2020,147000,115.0,5,0
156,7,401,9.546455401949554,0,2016,149300,110.0,5,0
157,12,110,10.168540506927547,2,2023,28083,122.0,5,1
158,7,401,10.161612072745584,2,2024,15028,140.0,5,0
159,4,490,10.236381967809457,2,2022,39559,136.0,5,1
160,7,401,9.846917201047734,1,2021,45921,140.0,5,0
161,4,490,9.892932038596612,2,2020,96832,116.0,5,0
162,7,401,10.257659366256743,2,2023,5318,140.0,5,0
163,12,256,10.85321306049652,4,2024,7587,306.0,5,1
164,7,401,10.298902324790792,2,2023,5466,140.0,5,0
165,4,278,9.159047077588632,1,2017,103480,84.0,5,0
166,4,490,9.994241915804592,2,2021,142700,230.0,5,1
167,5,454,9.982760733430636,2,2023,92250,150.0,5,0
168,12,110,10.03889218954233,2,2021,87000,122.0,5,1
169,4,281,9.951801412814678,2,2024,24004,120.0,5,0
170,12,110,9.925738161470948,2,2021,52500,122.0,5,1
171,4,490,10.081215240319855,1,2021,100000,150.0,5,1
172,12,200,9.897972371848018,2,2021,66305,122.0,5,1
173,5,156,9.692766521220475,1,2020,99714,120.0,5,0
174,12,410,10.257308427491955,2,2019,72123,218.0,5,1
175,5,376,9.332558004700433,1,2018,106339,84.0,5,0
176,5,454,9.975808214115753,2,2021,47000,136.0,5,0
177,5,454,10.288749953326773,1,2024,6000,150.0,5,0
178,5,156,9.862144589001746,1,2023,31168,120.0,5,0
179,7,401,9.717157974344635,0,2020,131000,150.0,5,0
180,12,200,9.897972371848018,2,2021,66305,122.0,5,1
181,12,110,9.822819649468673,2,2019,54250,122.0,5,1
182,4,278,9.769384568012647,1,2023,12311,84.0,5,0
183,4,490,9.692766521220475,1,2016,67367,131.0,5,0
184,7,401,10.097820021996219,2,2024,20377,140.0,5,0
185,7,401,10.097820021996219,2,2024,10594,140.0,5,0
186,7,401,10.097408245173435,2,2024,14691,140.0,5,0
187,7,401,10.308919326755392,2,2024,23481,158.0,5,1
188,7,401,10.126231023828998,2,2021,121236,158.0,5,1
189,5,154,9.509703949201802,0,2017,85315,136.0,5,0
190,5,413,9.532423871145296,1,2019,85800,84.0,5,0
191,12,110,9.895959286115337,2,2021,69750,122.0,5,1
192,12,110,9.895959286115337,2,2021,69500,122.0,5,1
193,4,281,9.922799863568502,2,2024,16794,120.0,5,0
194,4,490,9.898475010712584,2,2020,88000,116.0,5,0
195,5,454,10.097820021996219,1,2023,58903,150.0,5,0
196,5,156,9.809176873064887,1,2022,44375,120.0,5,0
197,4,278,9.581214035314728,1,2022,74294,100.0,5,0
198,5,454,10.126231023828998,2,2019,80000,185.0,5,1
199,5,454,9.79757132694458,1,2019,49791,132.0,5,0
200,4,277,9.104868739033948,1,2021,115509,67.0,5,0
201,7,299,9.350102314351341,1,2019,82787,112.0,5,0
202,4,490,10.081633737919603,2,2021,86810,230.0,5,1
203,12,96,9.51044496442652,0,2017,180000,143.0,5,0
204,7,401,9.998343083548807,2,2022,57169,140.0,5,0
205,7,401,10.08539235583374,2,2022,45615,140.0,5,1
206,7,401,10.042814617757227,2,2021,67542,140.0,5,0
207,4,292,9.539644119118783,2,2020,109057,141.0,5,1
208,5,156,9.82498532438117,1,2023,31700,120.0,5,0
209,7,339,8.83200393125627,1,2014,74000,80.0,5,0
210,4,490,9.998343083548807,1,2023,90678,150.0,5,0
211,12,410,8.98594603876032,0,2008,200000,136.0,5,0
212,7,339,9.740380214665977,1,2022,14150,92.0,5,0
213,4,490,10.042814617757227,2,2022,66974,150.0,5,0
214,5,454,9.814601692527686,2,2019,75665,115.0,5,0
215,5,454,9.877656792501606,2,2020,68913,136.0,5,0
216,4,281,9.898475010712584,1,2024,18500,110.0,5,0
217,4,490,9.998343083548807,1,2021,35000,150.0,5,0
218,5,376,9.588091641516831,1,2022,16000,84.0,5,0
219,12,201,9.98460660382092,2,2022,40673,122.0,5,1
220,12,95,9.740380214665977,1,2018,46937,116.0,5,0
221,7,401,10.081633737919603,1,2021,30589,158.0,5,1
222,5,156,9.70503661381229,0,2019,69288,115.0,5,0
223,4,278,8.921324076511265,1,2014,107000,85.0,5,0
224,4,278,9.433483923290392,1,2017,84200,84.0,5,0
225,12,99,9.304741047397666,1,2021,66426,72.0,5,0
226,5,454,9.581214035314728,0,2017,198990,115.0,5,0
227,4,281,9.882774510938587,1,2022,28960,110.0,5,0
228,12,256,9.913437883389296,2,2020,67663,116.0,5,1
229,12,95,8.85352256068954,0,2012,160000,90.0,5,0
230,5,156,9.60911649193355,1,2022,64338,120.0,5,0
231,12,95,8.987071812848821,0,2012,150000,90.0,5,0
